driver_actions-safe_drive/1 9 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/36 12 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/38 21 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/32 9 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/34 27 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/34 13 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/33 24 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/37 17 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/35 66 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/36 19 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/5 311 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/30 358 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/35 22 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/1 15 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/39 15 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/7 315 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/38 12 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/37 69 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/6 496 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/7 267 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-texting_right/3 633 9 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/40 13 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/41 11 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/40 24 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/42 7 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/43 15 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/44 13 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/43 3 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/41 25 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/42 17 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/2 11 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/44 25 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-unclassified/7 42 17 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/10 63 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_right/1 50 4 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/45 14 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/11 93 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/46 12 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/9 5 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/10 33 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/46 61 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/11 22 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/12 27 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/13 73 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/14 59 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/8 446 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/47 12 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/6 429 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/45 577 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-none/3 226 6 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-phonecall_right/2 832 10 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/47 778 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/8 915 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/48 34 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/48 18 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/15 59 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-phonecall_right/3 26 10 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/5 19 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
talking-talking/16 56 2 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/4 78 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/49 28 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/12 76 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/49 157 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/51 10 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/9 233 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/5 20 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/11 27 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/9 85 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-phonecall_right/4 90 10 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-both/7 214 3 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/53 23 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/6 20 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/50 31 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/52 18 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/51 35 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/7 14 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/8 26 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/52 20 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/50 406 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/14 72 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/53 92 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/13 91 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-safe_drive/10 157 8 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/4 218 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hands_using_wheel-only_left/10 849 5 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-change_gear/9 30 16 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/55 8 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/54 24 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/60 27 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/57 12 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/56 23 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/58 19 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/59 26 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/57 27 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/59 35 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
hand_on_gear-hand_on_gear/6 41 7 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/55 38 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/60 20 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/58 21 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-hair_and_makeup/2 341 15 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/61 17 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-looking_road/61 266 0 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-drinking/2 218 13 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
gaze_on_road-not_looking_road/63 46 1 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
driver_actions-reach_side/15 43 14 {'age': 27, 'gender': 'Female', 'exp': 'More than 3 years', 'd_freq': 'Everyday'}
